car_id,name,price,litres_on_100km,seats,transmission,horsepower,fuel,photo
73,Hyundai Sonata SE Sedan (2020),23600,9,5,shiftable automatic,191,petrol,http://media.ed.edmunds-media.com/hyundai/accent/2013/oem/2013_hyundai_accent_4dr-hatchback_gs_fq_oem_2_300.jpg
74,Hyundai Sonata Limited Sedan (2020),33500,9,5,shiftable automatic,180,petrol,http://media.ed.edmunds-media.com/hyundai/accent/2013/oem/2013_hyundai_accent_4dr-hatchback_gs_fq_oem_2_300.jpg
75,Hyundai Sonata Sport Sedan (2019),25000,10,5,shiftable automatic,185,petrol,http://media.ed.edmunds-media.com/hyundai/accent/2013/oem/2013_hyundai_accent_4dr-hatchback_gs_fq_oem_2_300.jpg
76,Hyundai Sonata Eco Sedan (2019),22850,9,5,automated manual,178,hybrid,http://media.ed.edmunds-media.com/hyundai/accent/2013/oem/2013_hyundai_accent_4dr-hatchback_gs_fq_oem_2_300.jpg
77,Hyundai Sonata Limited 2.0T Sedan (2018),31900,11,5,shiftable automatic,245,petrol,http://media.ed.edmunds-media.com/hyundai/accent/2013/oem/2013_hyundai_accent_4dr-hatchback_gs_fq_oem_2_300.jpg
78,Honda Accord Touring Sedan (2020),36100,11,5,shiftable automatic,252,petrol,http://media.ed.edmunds-media.com/honda/pilot/2013/oem/2013_honda_pilot_4dr-suv_ex-l_fq_oem_1_300.jpg
79,Honda Accord LX Sedan (2020),23870,9,5,continuous automatic,192,petrol,http://media.ed.edmunds-media.com/honda/pilot/2013/oem/2013_honda_pilot_4dr-suv_ex-l_fq_oem_1_300.jpg
80,Honda Accord EX Sedan (2020),27770,9,5,continuous automatic,192,petrol,http://media.ed.edmunds-media.com/honda/pilot/2013/oem/2013_honda_pilot_4dr-suv_ex-l_fq_oem_1_300.jpg
81,Honda Accord Sport Sedan (2019),26180,9,5,continuous automatic,192,petrol,http://media.ed.edmunds-media.com/honda/pilot/2013/oem/2013_honda_pilot_4dr-suv_ex-l_fq_oem_1_300.jpg
82,Honda Accord EX-L Sedan (2018),29970,9,5,continuous automatic,192,petrol,http://media.ed.edmunds-media.com/honda/pilot/2013/oem/2013_honda_pilot_4dr-suv_ex-l_fq_oem_1_300.jpg
83,Chevrolet Malibu L Sedan (2020),22095,9,5,continuous automatic,160,petrol,http://media.ed.edmunds-media.com/chevrolet/corvette/2015/oem/2015_chevrolet_corvette_convertible_z06_fq_oem_2_300.jpg
84,Chevrolet Malibu RS Sedan (2020),24220,9,5,continuous automatic,160,petrol,http://media.ed.edmunds-media.com/chevrolet/corvette/2015/oem/2015_chevrolet_corvette_convertible_z06_fq_oem_2_300.jpg
85,Chevrolet Malibu Premier Sedan (2020),33320,11,5,shiftable automatic,250,petrol,http://media.ed.edmunds-media.com/chevrolet/corvette/2015/oem/2015_chevrolet_corvette_convertible_z06_fq_oem_2_300.jpg
86,Chevrolet Malibu Hybrid Sedan (2019),28220,6,5,1-speed direct drive,122,hybrid,http://media.ed.edmunds-media.com/chevrolet/corvette/2015/oem/2015_chevrolet_corvette_convertible_z06_fq_oem_2_300.jpg
87,Ford Taurus SE Sedan (2019),27800,14,5,shiftable automatic,288,biofuels,http://media.ed.edmunds-media.com/ford/mustang/2013/oem/2013_ford_mustang_convertible_gt-premium_fq_oem_2_300.jpg
88,Ford Taurus SHO Sedan (2019),42975,15,5,shiftable automatic,365,petrol,http://media.ed.edmunds-media.com/ford/mustang/2013/oem/2013_ford_mustang_convertible_gt-premium_fq_oem_2_300.jpg
89,Ford Taurus Limited Sedan (2019),37310,14,5,shiftable automatic,288,biofuels,http://media.ed.edmunds-media.com/ford/mustang/2013/oem/2013_ford_mustang_convertible_gt-premium_fq_oem_2_300.jpg
90,Volkswagen Arteon SE Hatchback (2020),35995,11,5,shiftable automatic,268,petrol,http://media.ed.edmunds-media.com/volkswagen/beetle-convertible/2014/oem/2014_volkswagen_beetle-convertible_convertible_r-line_fq_oem_1_300.jpg
91,Volkswagen Arteon SEL Premium R-Line Hatchback (2020),47695,12,5,shiftable automatic,268,petrol,http://media.ed.edmunds-media.com/volkswagen/beetle-convertible/2014/oem/2014_volkswagen_beetle-convertible_convertible_r-line_fq_oem_1_300.jpg
92,Volkswagen Arteon SE Hatchback (2019),35845,11,5,shiftable automatic,268,petrol,http://media.ed.edmunds-media.com/volkswagen/beetle-convertible/2014/oem/2014_volkswagen_beetle-convertible_convertible_r-line_fq_oem_1_300.jpg
93,Volkswagen Arteon SEL Premium Hatchback (2019),44945,12,5,shiftable automatic,268,petrol,http://media.ed.edmunds-media.com/volkswagen/beetle-convertible/2014/oem/2014_volkswagen_beetle-convertible_convertible_r-line_fq_oem_1_300.jpg
94,Subaru Legacy Sedan (2020),22745,9,5,continuous automatic,182,petrol,http://media.ed.edmunds-media.com/subaru/brz/2013/oem/2013_subaru_brz_coupe_limited_fq_oem_1_300.jpg
95,Subaru Legacy Touring XT Sedan (2020),35895,11,5,continuous automatic,260,petrol,http://media.ed.edmunds-media.com/subaru/brz/2013/oem/2013_subaru_brz_coupe_limited_fq_oem_1_300.jpg
96,Subaru Legacy 2.5i Sedan (2019),22545,10,5,continuous automatic,175,petrol,http://media.ed.edmunds-media.com/subaru/brz/2013/oem/2013_subaru_brz_coupe_limited_fq_oem_1_300.jpg
97,Subaru Legacy 3.6R Limited Sedan (2019),31545,12,5,continuous automatic,256,petrol,http://media.ed.edmunds-media.com/subaru/brz/2013/oem/2013_subaru_brz_coupe_limited_fq_oem_1_300.jpg
